Username,timestamps,emgvalues
nikhil1,08:50:08.289,7.28
nikhil1,08:50:08.289,16.53
nikhil1,08:50:08.292,-20.13
nikhil1,08:50:08.293,-70.44
nikhil1,08:50:08.296,6.65
nikhil1,08:50:08.296,129.13
nikhil1,08:50:08.301,44.96
nikhil1,08:50:08.301,-133.46
nikhil1,08:50:08.305,-94.42
nikhil1,08:50:08.305,75.63
nikhil1,08:50:08.309,96.1
nikhil1,08:50:08.309,-6.28
nikhil1,08:50:08.312,-48.4
nikhil1,08:50:08.312,-14.61
nikhil1,08:50:08.314,3.43
nikhil1,08:50:08.318,-14.15
nikhil1,08:50:08.318,-6.95
nikhil1,08:50:08.322,36.44
nikhil1,08:50:08.322,35.19
nikhil1,08:50:08.326,-23.98
nikhil1,08:50:08.326,-36.81
nikhil1,08:50:08.330,7.93
nikhil1,08:50:08.330,12.95
nikhil1,08:50:08.334,-16.0
nikhil1,08:50:08.334,2.41
nikhil1,08:50:08.338,38.88
nikhil1,08:50:08.338,5.7
nikhil1,08:50:08.341,-58.9
nikhil1,08:50:08.342,-38.38
nikhil1,08:50:08.346,60.49
nikhil1,08:50:08.346,75.47
nikhil1,08:50:08.350,-39.36
nikhil1,08:50:08.351,-78.7
nikhil1,08:50:08.354,21.3
nikhil1,08:50:08.355,49.56
nikhil1,08:50:08.358,-26.13
nikhil1,08:50:08.359,-22.64
nikhil1,08:50:08.362,36.77
nikhil1,08:50:08.363,-0.57
nikhil1,08:50:08.367,-42.65
nikhil1,08:50:08.367,26.47
nikhil1,08:50:08.370,51.61
nikhil1,08:50:08.370,-29.83
nikhil1,08:50:08.374,-51.2
nikhil1,08:50:08.374,7.96
nikhil1,08:50:08.379,25.68
nikhil1,08:50:08.379,-0.27
nikhil1,08:50:08.383,1.86
nikhil1,08:50:08.383,18.11
nikhil1,08:50:08.387,-1.75
nikhil1,08:50:08.387,-31.2
nikhil1,08:50:08.391,-20.04
nikhil1,08:50:08.391,23.07
nikhil1,08:50:08.395,40.9
nikhil1,08:50:08.395,-2.28
nikhil1,08:50:08.399,-40.56
nikhil1,08:50:08.399,-5.58
nikhil1,08:50:08.403,27.02
nikhil1,08:50:08.403,-17.3
nikhil1,08:50:08.407,-42.04
nikhil1,08:50:08.407,35.33
nikhil1,08:50:08.408,84.29
nikhil1,08:50:08.411,-4.2
nikhil1,08:50:08.411,-84.67
nikhil1,08:50:08.415,-35.73
nikhil1,08:50:08.415,25.72
nikhil1,08:50:08.419,16.36
nikhil1,08:50:08.419,11.66
nikhil1,08:50:08.424,29.69
nikhil1,08:50:08.424,13.28
nikhil1,08:50:08.428,-23.82
nikhil1,08:50:08.428,-36.93
nikhil1,08:50:08.432,-20.33
nikhil1,08:50:08.432,11.57
nikhil1,08:50:08.436,26.09
nikhil1,08:50:08.436,24.12
nikhil1,08:50:08.440,19.52
nikhil1,08:50:08.440,-26.27
nikhil1,08:50:08.444,-61.39
nikhil1,08:50:08.444,5.12
nikhil1,08:50:08.448,61.44
nikhil1,08:50:08.449,4.04
nikhil1,08:50:08.452,-32.69
nikhil1,08:50:08.452,14.21
nikhil1,08:50:08.456,10.76
nikhil1,08:50:08.457,-33.44
nikhil1,08:50:08.460,-0.58
nikhil1,08:50:08.461,28.83
nikhil1,08:50:08.465,-22.85
nikhil1,08:50:08.465,-25.7
nikhil1,08:50:08.469,51.33
nikhil1,08:50:08.469,51.21
nikhil1,08:50:08.472,-39.56
nikhil1,08:50:08.473,-68.11
nikhil1,08:50:08.477,-9.7
nikhil1,08:50:08.477,31.17
nikhil1,08:50:08.482,32.98
nikhil1,08:50:08.482,28.89
nikhil1,08:50:08.485,-3.69
nikhil1,08:50:08.485,-51.89
nikhil1,08:50:08.489,-36.41
nikhil1,08:50:08.490,30.16
nikhil1,08:50:08.493,43.9
nikhil1,08:50:08.493,-3.8
nikhil1,08:50:08.497,-18.67
nikhil1,08:50:08.497,13.28
nikhil1,08:50:08.497,-3.2
nikhil1,08:50:08.501,-59.95
nikhil1,08:50:08.501,-12.52
nikhil1,08:50:08.506,97.59
nikhil1,08:50:08.506,48.89
nikhil1,08:50:08.510,-90.74
nikhil1,08:50:08.510,-59.7
nikhil1,08:50:08.515,56.98
nikhil1,08:50:08.515,37.53
nikhil1,08:50:08.518,-26.79
nikhil1,08:50:08.518,-6.23
nikhil1,08:50:08.522,11.75
nikhil1,08:50:08.522,-23.43
nikhil1,08:50:08.526,-17.95
nikhil1,08:50:08.526,42.43
nikhil1,08:50:08.530,38.06
nikhil1,08:50:08.531,-36.72
nikhil1,08:50:08.535,-39.3
nikhil1,08:50:08.535,30.14
nikhil1,08:50:08.538,10.97
nikhil1,08:50:08.538,-62.5
nikhil1,08:50:08.543,9.4
nikhil1,08:50:08.544,112.76
nikhil1,08:50:08.547,7.69
nikhil1,08:50:08.547,-116.8
nikhil1,08:50:08.551,-35.87
nikhil1,08:50:08.551,59.89
nikhil1,08:50:08.555,29.63
nikhil1,08:50:08.555,6.86
nikhil1,08:50:08.558,15.81
nikhil1,08:50:08.560,-29.08
nikhil1,08:50:08.563,-61.4
nikhil1,08:50:08.563,-5.33
nikhil1,08:50:08.567,59.13
nikhil1,08:50:08.567,50.11
nikhil1,08:50:08.571,-11.57
nikhil1,08:50:08.571,-48.86
nikhil1,08:50:08.575,-16.41
nikhil1,08:50:08.575,19.7
nikhil1,08:50:08.579,-3.44
nikhil1,08:50:08.579,-21.03
nikhil1,08:50:08.583,17.5
nikhil1,08:50:08.583,41.34
nikhil1,08:50:08.583,-5.67
nikhil1,08:50:08.587,-40.52
nikhil1,08:50:08.592,18.11
nikhil1,08:50:08.592,44.47
nikhil1,08:50:08.592,-50.81
nikhil1,08:50:08.596,-68.78
nikhil1,08:50:08.596,48.13
nikhil1,08:50:08.600,68.64
nikhil1,08:50:08.600,-12.02
nikhil1,08:50:08.604,-34.19
nikhil1,08:50:08.604,-27.12
nikhil1,08:50:08.608,-1.96
nikhil1,08:50:08.608,63.46
nikhil1,08:50:08.612,41.73
nikhil1,08:50:08.613,-66.05
nikhil1,08:50:08.617,-84.69
nikhil1,08:50:08.617,3.69
nikhil1,08:50:08.620,81.98
nikhil1,08:50:08.620,69.72
nikhil1,08:50:08.625,-26.44
nikhil1,08:50:08.625,-84.86
nikhil1,08:50:08.629,-23.06
nikhil1,08:50:08.629,48.67
nikhil1,08:50:08.633,42.89
nikhil1,08:50:08.633,13.11
nikhil1,08:50:08.637,-37.4
nikhil1,08:50:08.638,-75.27
nikhil1,08:50:08.641,-1.12
nikhil1,08:50:08.641,80.11
nikhil1,08:50:08.645,33.6
nikhil1,08:50:08.646,-24.53
nikhil1,08:50:08.649,-13.77
nikhil1,08:50:08.649,-14.85
nikhil1,08:50:08.654,-25.94
