Username,timestamps,emgvalues
sanjana1,12:20:00.037,14.61
sanjana1,12:20:00.042,27.11
sanjana1,12:20:00.042,-58.15
sanjana1,12:20:00.046,-140.8
sanjana1,12:20:00.046,69.17
sanjana1,12:20:00.049,316.32
sanjana1,12:20:00.050,52.46
sanjana1,12:20:00.055,-376.24
sanjana1,12:20:00.055,-249.79
sanjana1,12:20:00.059,197.49
sanjana1,12:20:00.059,301.54
sanjana1,12:20:00.063,55.03
sanjana1,12:20:00.063,-153.48
sanjana1,12:20:00.067,-135.47
sanjana1,12:20:00.067,24.46
sanjana1,12:20:00.071,84.54
sanjana1,12:20:00.071,-12.47
sanjana1,12:20:00.075,-55.31
sanjana1,12:20:00.075,-12.7
sanjana1,12:20:00.079,6.89
sanjana1,12:20:00.079,58.62
sanjana1,12:20:00.083,82.11
sanjana1,12:20:00.083,-42.31
sanjana1,12:20:00.087,-93.65
sanjana1,12:20:00.087,36.74
sanjana1,12:20:00.091,46.33
sanjana1,12:20:00.092,-75.65
sanjana1,12:20:00.096,-39.84
sanjana1,12:20:00.096,46.47
sanjana1,12:20:00.096,10.6
sanjana1,12:20:00.099,31.85
sanjana1,12:20:00.099,85.23
sanjana1,12:20:00.103,-43.0
sanjana1,12:20:00.103,-149.75
sanjana1,12:20:00.107,7.23
sanjana1,12:20:00.107,161.72
sanjana1,12:20:00.112,39.74
sanjana1,12:20:00.112,-156.84
sanjana1,12:20:00.116,-125.16
sanjana1,12:20:00.116,85.25
sanjana1,12:20:00.120,179.94
sanjana1,12:20:00.120,38.51
sanjana1,12:20:00.124,-130.8
sanjana1,12:20:00.124,-102.48
sanjana1,12:20:00.127,56.77
sanjana1,12:20:00.128,111.67
sanjana1,12:20:00.132,-4.24
sanjana1,12:20:00.132,-118.51
sanjana1,12:20:00.136,-78.72
sanjana1,12:20:00.136,61.52
sanjana1,12:20:00.141,134.73
sanjana1,12:20:00.141,44.1
sanjana1,12:20:00.144,-94.14
sanjana1,12:20:00.144,-61.73
sanjana1,12:20:00.148,64.23
sanjana1,12:20:00.148,15.04
sanjana1,12:20:00.153,-90.4
sanjana1,12:20:00.153,-11.39
sanjana1,12:20:00.156,54.2
sanjana1,12:20:00.156,-12.34
sanjana1,12:20:00.161,28.93
sanjana1,12:20:00.161,93.54
sanjana1,12:20:00.165,-52.33
sanjana1,12:20:00.165,-122.1
sanjana1,12:20:00.169,67.12
sanjana1,12:20:00.169,106.37
sanjana1,12:20:00.172,-101.94
sanjana1,12:20:00.173,-135.3
sanjana1,12:20:00.176,47.6
sanjana1,12:20:00.177,132.89
sanjana1,12:20:00.181,73.18
sanjana1,12:20:00.181,-29.24
sanjana1,12:20:00.185,-120.09
sanjana1,12:20:00.185,-75.1
sanjana1,12:20:00.185,89.46
sanjana1,12:20:00.190,119.93
sanjana1,12:20:00.190,-24.07
sanjana1,12:20:00.193,-124.25
sanjana1,12:20:00.194,-87.11
sanjana1,12:20:00.197,51.01
sanjana1,12:20:00.197,165.0
sanjana1,12:20:00.201,69.59
sanjana1,12:20:00.201,-134.42
sanjana1,12:20:00.206,-117.17
sanjana1,12:20:00.206,83.75
sanjana1,12:20:00.210,107.54
sanjana1,12:20:00.210,-52.0
sanjana1,12:20:00.214,-106.23
sanjana1,12:20:00.214,-36.64
sanjana1,12:20:00.218,41.73
sanjana1,12:20:00.218,120.95
sanjana1,12:20:00.222,83.72
sanjana1,12:20:00.222,-102.94
sanjana1,12:20:00.226,-129.98
sanjana1,12:20:00.227,71.02
sanjana1,12:20:00.231,105.04
sanjana1,12:20:00.231,-75.4
sanjana1,12:20:00.234,-102.73
sanjana1,12:20:00.234,19.39
sanjana1,12:20:00.238,63.94
sanjana1,12:20:00.238,70.02
sanjana1,12:20:00.243,44.66
sanjana1,12:20:00.243,-83.8
sanjana1,12:20:00.247,-115.69
sanjana1,12:20:00.247,60.99
sanjana1,12:20:00.251,136.28
sanjana1,12:20:00.251,-37.06
sanjana1,12:20:00.254,-164.57
sanjana1,12:20:00.255,-53.76
sanjana1,12:20:00.259,134.84
sanjana1,12:20:00.259,159.93
sanjana1,12:20:00.263,-16.24
sanjana1,12:20:00.263,-167.62
sanjana1,12:20:00.267,-80.62
sanjana1,12:20:00.267,119.1
sanjana1,12:20:00.271,123.79
sanjana1,12:20:00.271,-60.69
sanjana1,12:20:00.275,-142.24
sanjana1,12:20:00.276,-48.21
sanjana1,12:20:00.276,71.08
sanjana1,12:20:00.280,130.62
sanjana1,12:20:00.280,62.95
sanjana1,12:20:00.284,-96.42
sanjana1,12:20:00.284,-103.58
sanjana1,12:20:00.288,52.11
sanjana1,12:20:00.288,62.39
sanjana1,12:20:00.291,-60.6
sanjana1,12:20:00.291,-48.12
sanjana1,12:20:00.296,21.54
sanjana1,12:20:00.296,10.4
sanjana1,12:20:00.300,50.13
sanjana1,12:20:00.300,79.78
sanjana1,12:20:00.304,-60.6
sanjana1,12:20:00.304,-116.61
sanjana1,12:20:00.308,62.48
sanjana1,12:20:00.308,106.61
sanjana1,12:20:00.312,-82.91
sanjana1,12:20:00.312,-127.85
sanjana1,12:20:00.317,26.39
sanjana1,12:20:00.317,110.76
sanjana1,12:20:00.321,76.99
sanjana1,12:20:00.321,-5.98
sanjana1,12:20:00.324,-106.12
sanjana1,12:20:00.324,-85.96
sanjana1,12:20:00.328,78.4
sanjana1,12:20:00.328,126.86
sanjana1,12:20:00.332,-31.48
sanjana1,12:20:00.333,-145.85
sanjana1,12:20:00.336,-68.47
sanjana1,12:20:00.336,89.34
sanjana1,12:20:00.341,152.81
sanjana1,12:20:00.341,29.09
sanjana1,12:20:00.345,-138.12
sanjana1,12:20:00.345,-80.2
sanjana1,12:20:00.349,111.35
sanjana1,12:20:00.349,72.46
sanjana1,12:20:00.353,-113.47
sanjana1,12:20:00.353,-88.33
sanjana1,12:20:00.357,44.42
sanjana1,12:20:00.357,57.19
sanjana1,12:20:00.361,59.15
sanjana1,12:20:00.361,48.41
sanjana1,12:20:00.365,-81.73
sanjana1,12:20:00.365,-100.37
sanjana1,12:20:00.365,80.69
sanjana1,12:20:00.370,91.1
sanjana1,12:20:00.370,-99.81
sanjana1,12:20:00.373,-104.1
sanjana1,12:20:00.374,45.79
sanjana1,12:20:00.377,76.96
sanjana1,12:20:00.378,53.29
sanjana1,12:20:00.382,31.41
sanjana1,12:20:00.382,-78.01
sanjana1,12:20:00.386,-114.79
sanjana1,12:20:00.386,52.28
sanjana1,12:20:00.390,145.21
sanjana1,12:20:00.390,-13.19
sanjana1,12:20:00.394,-166.6
sanjana1,12:20:00.394,-85.38
sanjana1,12:20:00.398,121.89
sanjana1,12:20:00.399,181.3
sanjana1,12:20:00.402,-0.44
sanjana1,12:20:00.402,-173.1
sanjana1,12:20:00.406,-81.76
sanjana1,12:20:00.406,119.83
sanjana1,12:20:00.410,106.19
sanjana1,12:20:00.410,-68.72
sanjana1,12:20:00.415,-118.18
sanjana1,12:20:00.415,-33.72
sanjana1,12:20:00.419,55.05
sanjana1,12:20:00.419,121.8
sanjana1,12:20:00.423,68.35
sanjana1,12:20:00.423,-104.63
sanjana1,12:20:00.427,-105.02
sanjana1,12:20:00.427,77.53
sanjana1,12:20:00.431,65.75
sanjana1,12:20:00.431,-91.82
sanjana1,12:20:00.435,-57.15
sanjana1,12:20:00.435,43.03
sanjana1,12:20:00.440,25.77
sanjana1,12:20:00.440,48.4
sanjana1,12:20:00.444,64.84
sanjana1,12:20:00.444,-76.82
sanjana1,12:20:00.448,-110.63
sanjana1,12:20:00.448,87.23
sanjana1,12:20:00.452,113.0
sanjana1,12:20:00.452,-102.86
sanjana1,12:20:00.456,-144.05
sanjana1,12:20:00.456,25.67
sanjana1,12:20:00.459,124.96
sanjana1,12:20:00.459,101.01
sanjana1,12:20:00.459,-6.24
sanjana1,12:20:00.464,-136.5
sanjana1,12:20:00.464,-93.86
sanjana1,12:20:00.467,101.87
sanjana1,12:20:00.467,126.46
sanjana1,12:20:00.472,-52.03
sanjana1,12:20:00.472,-130.04
sanjana1,12:20:00.476,-42.01
sanjana1,12:20:00.476,64.03
sanjana1,12:20:00.481,119.42
sanjana1,12:20:00.481,54.54
sanjana1,12:20:00.485,-102.31
sanjana1,12:20:00.485,-104.07
sanjana1,12:20:00.489,73.44
sanjana1,12:20:00.489,101.78
sanjana1,12:20:00.492,-74.59
sanjana1,12:20:00.492,-138.8
sanjana1,12:20:00.496,7.13
