Username,timestamps,emgvalues
noel1,08:47:49.947,13.03
noel1,08:47:49.951,26.26
noel1,08:47:49.951,-38.1
noel1,08:47:49.955,-111.35
noel1,08:47:49.955,16.08
noel1,08:47:49.959,188.14
noel1,08:47:49.959,66.58
noel1,08:47:49.963,-151.97
noel1,08:47:49.963,-109.63
noel1,08:47:49.967,39.95
noel1,08:47:49.967,55.68
noel1,08:47:49.971,27.12
noel1,08:47:49.971,25.25
noel1,08:47:49.976,-15.16
noel1,08:47:49.976,-50.94
noel1,08:47:49.979,-16.7
noel1,08:47:49.980,22.3
noel1,08:47:49.983,17.81
noel1,08:47:49.984,8.42
noel1,08:47:49.984,3.75
noel1,08:47:49.988,-11.66
noel1,08:47:49.988,-16.21
noel1,08:47:49.992,-0.28
noel1,08:47:49.992,9.65
noel1,08:47:49.996,5.86
noel1,08:47:49.996,2.0
noel1,08:47:50.000,-1.33
noel1,08:47:50.000,-5.61
noel1,08:47:50.004,-3.81
noel1,08:47:50.004,1.98
noel1,08:47:50.008,3.35
noel1,08:47:50.008,1.36
noel1,08:47:50.012,0.17
noel1,08:47:50.012,-1.0
noel1,08:47:50.016,-1.86
noel1,08:47:50.016,-0.7
noel1,08:47:50.020,0.79
noel1,08:47:50.020,0.85
noel1,08:47:50.024,0.64
noel1,08:47:50.024,0.37
noel1,08:47:50.028,-0.73
noel1,08:47:50.028,-1.2
noel1,08:47:50.033,-0.04
noel1,08:47:50.033,0.89
noel1,08:47:50.037,0.55
noel1,08:47:50.037,-0.06
noel1,08:47:50.041,-0.43
noel1,08:47:50.041,-0.51
noel1,08:47:50.045,-0.02
noel1,08:47:50.045,0.54
noel1,08:47:50.050,0.31
noel1,08:47:50.050,-0.24
noel1,08:47:50.053,-0.28
noel1,08:47:50.053,0.03
noel1,08:47:50.057,0.19
noel1,08:47:50.057,-0.01
noel1,08:47:50.062,-0.29
noel1,08:47:50.062,-0.04
noel1,08:47:50.066,0.39
noel1,08:47:50.066,0.19
noel1,08:47:50.069,-0.28
noel1,08:47:50.069,-0.24
noel1,08:47:50.070,0.02
noel1,08:47:50.073,0.16
noel1,08:47:50.074,0.25
noel1,08:47:50.077,-0.0
noel1,08:47:50.078,-0.44
noel1,08:47:50.082,-0.17
noel1,08:47:50.082,0.44
noel1,08:47:50.086,0.29
noel1,08:47:50.087,-0.24
noel1,08:47:50.091,-0.23
noel1,08:47:50.091,-0.0
noel1,08:47:50.095,0.1
noel1,08:47:50.095,0.22
noel1,08:47:50.098,0.03
noel1,08:47:50.098,-0.41
noel1,08:47:50.102,-0.17
noel1,08:47:50.102,0.44
noel1,08:47:50.106,0.27
noel1,08:47:50.106,-0.26
noel1,08:47:50.110,-0.23
noel1,08:47:50.110,0.01
noel1,08:47:50.115,0.11
noel1,08:47:50.115,0.22
noel1,08:47:50.119,0.02
noel1,08:47:50.119,-0.41
noel1,08:47:50.123,-0.17
noel1,08:47:50.123,0.44
noel1,08:47:50.126,0.28
noel1,08:47:50.127,-0.28
noel1,08:47:50.131,-0.25
noel1,08:47:50.131,0.1
noel1,08:47:50.136,0.21
noel1,08:47:50.136,0.04
noel1,08:47:50.140,-0.22
noel1,08:47:50.140,-0.24
noel1,08:47:50.144,0.14
noel1,08:47:50.144,0.38
noel1,08:47:50.147,0.06
noel1,08:47:50.147,-0.3
noel1,08:47:50.152,-0.21
noel1,08:47:50.152,0.12
noel1,08:47:50.155,0.28
noel1,08:47:50.155,0.0
noel1,08:47:50.160,-0.37
noel1,08:47:50.160,-0.11
noel1,08:47:50.160,0.39
noel1,08:47:50.164,0.22
noel1,08:47:50.164,-0.24
noel1,08:47:50.168,-0.22
noel1,08:47:50.168,0.01
noel1,08:47:50.172,0.1
noel1,08:47:50.172,0.21
noel1,08:47:50.176,0.1
noel1,08:47:50.176,-0.32
noel1,08:47:50.180,-0.34
noel1,08:47:50.181,0.2
noel1,08:47:50.184,0.45
noel1,08:47:50.184,0.06
noel1,08:47:50.188,-0.3
noel1,08:47:50.188,-0.21
noel1,08:47:50.193,0.06
noel1,08:47:50.193,0.25
noel1,08:47:50.196,0.12
noel1,08:47:50.196,-0.25
noel1,08:47:50.200,-0.32
noel1,08:47:50.200,0.13
noel1,08:47:50.204,0.5
noel1,08:47:50.204,0.18
noel1,08:47:50.208,-0.55
noel1,08:47:50.208,-0.55
noel1,08:47:50.213,0.46
noel1,08:47:50.214,0.82
noel1,08:47:50.217,-0.23
noel1,08:47:50.218,-0.89
noel1,08:47:50.222,-0.08
noel1,08:47:50.222,0.65
noel1,08:47:50.225,0.25
noel1,08:47:50.225,-0.23
noel1,08:47:50.229,-0.16
noel1,08:47:50.229,-0.08
noel1,08:47:50.233,-0.08
noel1,08:47:50.234,0.18
noel1,08:47:50.238,0.26
noel1,08:47:50.238,-0.18
noel1,08:47:50.242,-0.33
noel1,08:47:50.242,0.13
noel1,08:47:50.245,0.29
noel1,08:47:50.246,-0.06
noel1,08:47:50.249,-0.19
noel1,08:47:50.250,-0.02
noel1,08:47:50.250,0.08
noel1,08:47:50.254,0.15
noel1,08:47:50.254,0.04
noel1,08:47:50.258,-0.29
noel1,08:47:50.258,-0.2
noel1,08:47:50.262,0.31
noel1,08:47:50.262,0.26
noel1,08:47:50.267,-0.22
noel1,08:47:50.267,-0.16
noel1,08:47:50.271,0.19
noel1,08:47:50.271,0.14
noel1,08:47:50.275,-0.12
noel1,08:47:50.275,-0.26
noel1,08:47:50.278,-0.18
noel1,08:47:50.278,0.26
noel1,08:47:50.282,0.58
noel1,08:47:50.282,-0.02
noel1,08:47:50.287,-0.76
noel1,08:47:50.287,-0.32
noel1,08:47:50.291,0.62
noel1,08:47:50.291,0.55
noel1,08:47:50.295,-0.3
noel1,08:47:50.295,-0.55
noel1,08:47:50.299,0.08
noel1,08:47:50.299,0.42
noel1,08:47:50.304,-0.07
noel1,08:47:50.304,-0.3
noel1,08:47:50.307,0.12
noel1,08:47:50.307,0.24
noel1,08:47:50.312,-0.05
noel1,08:47:50.312,-0.09
noel1,08:47:50.316,-0.05
noel1,08:47:50.316,-0.1
noel1,08:47:50.319,0.05
noel1,08:47:50.319,0.19
noel1,08:47:50.324,0.03
noel1,08:47:50.324,-0.12
noel1,08:47:50.327,-0.05
noel1,08:47:50.327,0.01
noel1,08:47:50.332,-0.0
noel1,08:47:50.332,0.03
noel1,08:47:50.336,0.05
noel1,08:47:50.336,-0.01
noel1,08:47:50.340,-0.04
noel1,08:47:50.340,-0.01
noel1,08:47:50.340,0.01
noel1,08:47:50.344,0.0
noel1,08:47:50.344,0.02
noel1,08:47:50.348,0.01
noel1,08:47:50.348,-0.01
noel1,08:47:50.352,-0.01
noel1,08:47:50.352,-0.0
noel1,08:47:50.356,0.0
noel1,08:47:50.356,0.0
noel1,08:47:50.361,0.02
noel1,08:47:50.361,0.04
noel1,08:47:50.365,-0.06
noel1,08:47:50.365,-0.18
noel1,08:47:50.369,-0.01
noel1,08:47:50.369,0.32
noel1,08:47:50.373,0.26
noel1,08:47:50.373,-0.24
noel1,08:47:50.377,-0.42
noel1,08:47:50.377,-0.02
noel1,08:47:50.380,0.31
noel1,08:47:50.380,0.12
noel1,08:47:50.385,-0.11
noel1,08:47:50.385,-0.01
noel1,08:47:50.390,0.03
noel1,08:47:50.390,-0.03
noel1,08:47:50.394,0.01
noel1,08:47:50.394,-0.11
noel1,08:47:50.398,-0.17
noel1,08:47:50.398,0.26
noel1,08:47:50.402,0.41
noel1,08:47:50.402,-0.24
noel1,08:47:50.406,-0.59
noel1,08:47:50.406,0.02
noel1,08:47:50.410,0.56
noel1,08:47:50.410,0.28
noel1,08:47:50.414,-0.25
noel1,08:47:50.414,-0.4
noel1,08:47:50.418,-0.12
noel1,08:47:50.418,0.23
noel1,08:47:50.421,0.28
noel1,08:47:50.421,-0.01
noel1,08:47:50.425,-0.28
noel1,08:47:50.425,-0.13
noel1,08:47:50.430,0.26
noel1,08:47:50.430,0.27
noel1,08:47:50.434,-0.16
noel1,08:47:50.434,-0.36
noel1,08:47:50.434,-0.05
noel1,08:47:50.438,0.27
noel1,08:47:50.439,0.19
noel1,08:47:50.443,-0.09
noel1,08:47:50.443,-0.26
noel1,08:47:50.447,-0.09
noel1,08:47:50.447,0.27
noel1,08:47:50.451,0.3
noel1,08:47:50.451,-0.16
noel1,08:47:50.455,-0.4
noel1,08:47:50.455,-0.06
noel1,08:47:50.459,0.28
noel1,08:47:50.459,0.21
noel1,08:47:50.463,-0.08
noel1,08:47:50.463,-0.25
noel1,08:47:50.467,-0.1
noel1,08:47:50.467,0.26
noel1,08:47:50.471,0.29
noel1,08:47:50.471,-0.15
noel1,08:47:50.475,-0.39
noel1,08:47:50.476,-0.04
noel1,08:47:50.479,0.3
noel1,08:47:50.479,0.11
noel1,08:47:50.483,-0.19
noel1,08:47:50.483,-0.07
noel1,08:47:50.488,0.15
noel1,08:47:50.488,0.11
noel1,08:47:50.492,0.0
noel1,08:47:50.492,-0.17
noel1,08:47:50.496,-0.27
noel1,08:47:50.496,0.07
noel1,08:47:50.500,0.4
noel1,08:47:50.500,0.12
noel1,08:47:50.504,-0.31
noel1,08:47:50.504,-0.22
noel1,08:47:50.508,0.12
noel1,08:47:50.508,0.16
noel1,08:47:50.512,0.06
noel1,08:47:50.512,0.0
noel1,08:47:50.515,-0.15
noel1,08:47:50.515,-0.09
noel1,08:47:50.520,0.18
noel1,08:47:50.520,0.02
noel1,08:47:50.520,-0.29
noel1,08:47:50.524,-0.0
noel1,08:47:50.524,0.37
noel1,08:47:50.528,0.15
noel1,08:47:50.528,-0.21
noel1,08:47:50.532,-0.24
noel1,08:47:50.532,-0.09
noel1,08:47:50.536,0.12
noel1,08:47:50.536,0.31
noel1,08:47:50.540,0.1
noel1,08:47:50.540,-0.37
noel1,08:47:50.545,-0.25
noel1,08:47:50.545,0.28
noel1,08:47:50.549,0.25
noel1,08:47:50.549,-0.08
noel1,08:47:50.552,-0.1
noel1,08:47:50.554,-0.09
noel1,08:47:50.557,-0.07
noel1,08:47:50.557,0.16
noel1,08:47:50.562,0.15
noel1,08:47:50.562,-0.18
