Username,timestamps,emgvalues
nikhil1,08:50:54.669,6.24
nikhil1,08:50:54.669,13.23
nikhil1,08:50:54.674,-15.71
nikhil1,08:50:54.674,-51.36
nikhil1,08:50:54.674,1.47
nikhil1,08:50:54.678,78.23
nikhil1,08:50:54.678,31.7
nikhil1,08:50:54.682,-59.57
nikhil1,08:50:54.682,-39.36
nikhil1,08:50:54.686,29.36
nikhil1,08:50:54.686,17.77
nikhil1,08:50:54.690,-26.08
nikhil1,08:50:54.690,-0.43
nikhil1,08:50:54.694,38.48
nikhil1,08:50:54.694,-3.74
nikhil1,08:50:54.698,-46.1
nikhil1,08:50:54.699,4.88
nikhil1,08:50:54.703,45.2
nikhil1,08:50:54.703,-2.85
nikhil1,08:50:54.707,-33.43
nikhil1,08:50:54.707,-0.81
nikhil1,08:50:54.710,13.51
nikhil1,08:50:54.711,-9.66
nikhil1,08:50:54.715,-16.25
nikhil1,08:50:54.715,26.64
nikhil1,08:50:54.719,71.88
nikhil1,08:50:54.719,1.87
nikhil1,08:50:54.723,-136.47
nikhil1,08:50:54.723,-91.39
nikhil1,08:50:54.727,126.41
nikhil1,08:50:54.727,167.56
nikhil1,08:50:54.731,-40.53
nikhil1,08:50:54.731,-156.88
nikhil1,08:50:54.735,-29.97
nikhil1,08:50:54.735,83.63
nikhil1,08:50:54.739,13.8
nikhil1,08:50:54.739,-33.8
nikhil1,08:50:54.743,58.91
nikhil1,08:50:54.743,44.65
nikhil1,08:50:54.748,-104.45
nikhil1,08:50:54.748,-73.71
nikhil1,08:50:54.751,89.84
nikhil1,08:50:54.751,73.31
nikhil1,08:50:54.756,-49.97
nikhil1,08:50:54.756,-45.92
nikhil1,08:50:54.760,22.71
nikhil1,08:50:54.760,18.87
nikhil1,08:50:54.764,-13.11
nikhil1,08:50:54.764,-5.45
nikhil1,08:50:54.764,8.33
nikhil1,08:50:54.768,-0.39
nikhil1,08:50:54.768,1.01
nikhil1,08:50:54.772,10.58
nikhil1,08:50:54.772,-10.24
nikhil1,08:50:54.776,-25.85
nikhil1,08:50:54.776,11.43
nikhil1,08:50:54.780,35.65
nikhil1,08:50:54.780,-9.38
nikhil1,08:50:54.785,-35.12
nikhil1,08:50:54.785,11.43
nikhil1,08:50:54.789,33.17
nikhil1,08:50:54.789,-9.55
nikhil1,08:50:54.793,-37.52
nikhil1,08:50:54.793,-8.01
nikhil1,08:50:54.797,36.0
nikhil1,08:50:54.797,31.69
nikhil1,08:50:54.801,-16.37
nikhil1,08:50:54.801,-41.23
nikhil1,08:50:54.805,-13.18
nikhil1,08:50:54.805,30.2
nikhil1,08:50:54.809,40.75
nikhil1,08:50:54.809,-0.97
nikhil1,08:50:54.814,-49.01
nikhil1,08:50:54.814,-31.93
nikhil1,08:50:54.817,23.99
nikhil1,08:50:54.818,39.84
nikhil1,08:50:54.821,11.56
nikhil1,08:50:54.822,-17.32
nikhil1,08:50:54.825,-24.32
nikhil1,08:50:54.825,-9.06
nikhil1,08:50:54.830,15.29
nikhil1,08:50:54.830,20.04
nikhil1,08:50:54.833,-4.85
nikhil1,08:50:54.834,-19.32
nikhil1,08:50:54.837,-1.08
nikhil1,08:50:54.837,13.72
nikhil1,08:50:54.842,8.22
nikhil1,08:50:54.842,-2.72
nikhil1,08:50:54.845,-14.82
nikhil1,08:50:54.846,-12.51
nikhil1,08:50:54.850,14.09
nikhil1,08:50:54.850,24.31
nikhil1,08:50:54.854,-5.66
nikhil1,08:50:54.854,-24.83
nikhil1,08:50:54.854,-3.78
nikhil1,08:50:54.858,13.43
nikhil1,08:50:54.858,6.68
nikhil1,08:50:54.862,4.17
nikhil1,08:50:54.862,0.76
nikhil1,08:50:54.867,-15.93
nikhil1,08:50:54.867,-11.5
nikhil1,08:50:54.870,12.26
nikhil1,08:50:54.871,10.9
nikhil1,08:50:54.874,-9.3
nikhil1,08:50:54.875,-4.6
nikhil1,08:50:54.878,26.6
nikhil1,08:50:54.878,15.56
nikhil1,08:50:54.883,-43.1
nikhil1,08:50:54.884,-39.69
