Username,timestamps,emgvalues
nikhil1,10:11:11.171,10.23
nikhil1,10:11:11.171,21.5
nikhil1,10:11:11.175,-30.44
nikhil1,10:11:11.176,-93.87
nikhil1,10:11:11.179,14.25
nikhil1,10:11:11.179,167.11
nikhil1,10:11:11.182,50.12
nikhil1,10:11:11.184,-154.48
nikhil1,10:11:11.188,-85.56
nikhil1,10:11:11.188,75.76
nikhil1,10:11:11.191,49.49
nikhil1,10:11:11.191,-12.87
nikhil1,10:11:11.192,10.46
nikhil1,10:11:11.195,-12.1
nikhil1,10:11:11.195,-45.4
nikhil1,10:11:11.200,24.64
nikhil1,10:11:11.200,45.92
nikhil1,10:11:11.204,-39.62
nikhil1,10:11:11.204,-19.2
nikhil1,10:11:11.208,53.74
nikhil1,10:11:11.208,-17.0
nikhil1,10:11:11.212,-63.75
nikhil1,10:11:11.212,36.86
nikhil1,10:11:11.216,68.68
nikhil1,10:11:11.216,-29.81
nikhil1,10:11:11.220,-63.62
nikhil1,10:11:11.220,16.4
nikhil1,10:11:11.224,45.8
nikhil1,10:11:11.224,-26.4
nikhil1,10:11:11.228,-20.27
nikhil1,10:11:11.228,56.58
nikhil1,10:11:11.232,-6.18
nikhil1,10:11:11.232,-72.57
nikhil1,10:11:11.236,33.57
nikhil1,10:11:11.237,61.82
nikhil1,10:11:11.240,-57.74
nikhil1,10:11:11.240,-44.83
nikhil1,10:11:11.244,59.11
nikhil1,10:11:11.244,29.25
nikhil1,10:11:11.248,-29.85
nikhil1,10:11:11.248,0.06
nikhil1,10:11:11.252,-0.74
nikhil1,10:11:11.253,-36.39
nikhil1,10:11:11.257,3.45
nikhil1,10:11:11.257,44.85
nikhil1,10:11:11.261,4.64
nikhil1,10:11:11.261,-18.46
nikhil1,10:11:11.265,4.79
nikhil1,10:11:11.265,-11.75
nikhil1,10:11:11.269,-21.35
nikhil1,10:11:11.269,29.44
nikhil1,10:11:11.273,24.7
nikhil1,10:11:11.273,-39.83
nikhil1,10:11:11.277,-17.33
nikhil1,10:11:11.277,40.34
nikhil1,10:11:11.278,4.66
nikhil1,10:11:11.282,-30.7
nikhil1,10:11:11.282,10.31
nikhil1,10:11:11.286,25.11
nikhil1,10:11:11.286,-12.86
nikhil1,10:11:11.289,-31.65
