Username,timestamps,emgvalues
sanjana1,13:03:58.031,9.37
sanjana1,13:03:58.035,21.19
sanjana1,13:03:58.035,-22.26
sanjana1,13:03:58.039,-84.8
sanjana1,13:03:58.039,-7.97
sanjana1,13:03:58.043,129.62
sanjana1,13:03:58.043,66.62
sanjana1,13:03:58.047,-95.02
sanjana1,13:03:58.048,-66.54
sanjana1,13:03:58.051,44.37
sanjana1,13:03:58.052,21.79
sanjana1,13:03:58.056,-23.55
sanjana1,13:03:58.056,0.23
sanjana1,13:03:58.060,-10.1
sanjana1,13:03:58.060,-31.16
sanjana1,13:03:58.064,32.09
sanjana1,13:03:58.064,74.45
sanjana1,13:03:58.068,3.32
sanjana1,13:03:58.068,-49.22
sanjana1,13:03:58.072,-26.59
sanjana1,13:03:58.073,-22.46
sanjana1,13:03:58.076,-5.34
sanjana1,13:03:58.076,49.78
sanjana1,13:03:58.080,23.26
sanjana1,13:03:58.080,-48.46
sanjana1,13:03:58.084,-7.87
sanjana1,13:03:58.085,55.47
sanjana1,13:03:58.089,-1.19
sanjana1,13:03:58.089,-38.35
sanjana1,13:03:58.093,22.69
sanjana1,13:03:58.093,10.46
sanjana1,13:03:58.096,-59.06
sanjana1,13:03:58.097,-16.44
sanjana1,13:03:58.100,55.69
sanjana1,13:03:58.101,21.68
sanjana1,13:03:58.104,-34.08
sanjana1,13:03:58.105,-13.46
sanjana1,13:03:58.109,45.58
sanjana1,13:03:58.109,49.09
sanjana1,13:03:58.113,-35.68
sanjana1,13:03:58.113,-99.88
sanjana1,13:03:58.113,-28.8
sanjana1,13:03:58.117,87.54
sanjana1,13:03:58.117,66.34
sanjana1,13:03:58.121,-49.24
sanjana1,13:03:58.122,-51.71
sanjana1,13:03:58.126,38.63
sanjana1,13:03:58.126,37.3
sanjana1,13:03:58.129,-22.24
sanjana1,13:03:58.129,-9.6
sanjana1,13:03:58.133,7.43
sanjana1,13:03:58.133,-35.59
sanjana1,13:03:58.138,-34.8
sanjana1,13:03:58.138,26.53
sanjana1,13:03:58.141,51.75
sanjana1,13:03:58.141,28.46
sanjana1,13:03:58.146,-14.58
sanjana1,13:03:58.146,-46.76
sanjana1,13:03:58.149,-20.95
sanjana1,13:03:58.150,34.62
sanjana1,13:03:58.153,32.98
sanjana1,13:03:58.154,-23.94
sanjana1,13:03:58.158,-44.43
sanjana1,13:03:58.159,-15.09
sanjana1,13:03:58.163,15.73
sanjana1,13:03:58.163,59.65
sanjana1,13:03:58.166,63.04
sanjana1,13:03:58.166,-45.61
sanjana1,13:03:58.170,-104.72
sanjana1,13:03:58.170,5.33
sanjana1,13:03:58.174,78.99
sanjana1,13:03:58.174,7.66
sanjana1,13:03:58.179,-34.1
sanjana1,13:03:58.179,-12.6
sanjana1,13:03:58.183,-25.17
sanjana1,13:03:58.183,3.54
sanjana1,13:03:58.187,79.94
sanjana1,13:03:58.187,38.25
sanjana1,13:03:58.191,-63.88
sanjana1,13:03:58.191,-44.27
sanjana1,13:03:58.195,11.16
sanjana1,13:03:58.195,-15.5
sanjana1,13:03:58.199,-15.55
sanjana1,13:03:58.199,41.09
sanjana1,13:03:58.203,42.94
sanjana1,13:03:58.203,10.25
sanjana1,13:03:58.203,-16.08
sanjana1,13:03:58.207,-64.15
sanjana1,13:03:58.208,-35.14
sanjana1,13:03:58.212,84.14
sanjana1,13:03:58.212,62.99
sanjana1,13:03:58.215,-76.06
sanjana1,13:03:58.215,-59.26
sanjana1,13:03:58.219,38.22
sanjana1,13:03:58.220,9.47
sanjana1,13:03:58.224,-14.85
sanjana1,13:03:58.224,48.62
sanjana1,13:03:58.228,33.45
sanjana1,13:03:58.228,-41.05
sanjana1,13:03:58.231,-19.83
