Username,timestamps,emgvalues
nikhil1,11:47:40.771,4.29
nikhil1,11:47:40.771,5.72
nikhil1,11:47:40.775,-18.27
nikhil1,11:47:40.775,-23.78
nikhil1,11:47:40.778,35.49
nikhil1,11:47:40.780,37.54
nikhil1,11:47:40.780,-49.92
nikhil1,11:47:40.783,-19.64
nikhil1,11:47:40.784,77.7
nikhil1,11:47:40.788,-8.62
nikhil1,11:47:40.788,-120.76
nikhil1,11:47:40.792,-7.21
nikhil1,11:47:40.792,132.58
nikhil1,11:47:40.796,57.45
nikhil1,11:47:40.796,-88.42
nikhil1,11:47:40.800,-81.81
nikhil1,11:47:40.800,28.27
nikhil1,11:47:40.804,62.23
nikhil1,11:47:40.804,5.63
nikhil1,11:47:40.808,-25.53
nikhil1,11:47:40.808,-7.43
nikhil1,11:47:40.812,0.44
nikhil1,11:47:40.813,-4.25
nikhil1,11:47:40.816,4.7
nikhil1,11:47:40.816,9.79
nikhil1,11:47:40.821,-0.78
nikhil1,11:47:40.821,-5.67
nikhil1,11:47:40.824,-5.34
nikhil1,11:47:40.825,-8.63
nikhil1,11:47:40.829,8.76
nikhil1,11:47:40.829,28.72
nikhil1,11:47:40.832,4.03
nikhil1,11:47:40.833,-28.35
nikhil1,11:47:40.836,-27.99
nikhil1,11:47:40.837,0.73
nikhil1,11:47:40.840,47.64
nikhil1,11:47:40.841,29.28
nikhil1,11:47:40.845,-57.68
nikhil1,11:47:40.845,-45.36
nikhil1,11:47:40.849,49.98
nikhil1,11:47:40.849,45.44
nikhil1,11:47:40.853,-19.92
nikhil1,11:47:40.853,-35.66
nikhil1,11:47:40.856,-20.21
nikhil1,11:47:40.858,27.08
nikhil1,11:47:40.861,44.14
nikhil1,11:47:40.862,-36.2
nikhil1,11:47:40.865,-51.78
nikhil1,11:47:40.865,54.17
nikhil1,11:47:40.869,64.9
nikhil1,11:47:40.869,-41.17
nikhil1,11:47:40.869,-69.08
nikhil1,11:47:40.873,-2.57
nikhil1,11:47:40.873,40.3
nikhil1,11:47:40.878,30.83
nikhil1,11:47:40.878,2.35
nikhil1,11:47:40.882,-21.28
nikhil1,11:47:40.882,-21.89
nikhil1,11:47:40.886,-2.39
nikhil1,11:47:40.886,11.7
nikhil1,11:47:40.890,10.47
nikhil1,11:47:40.890,-4.31
nikhil1,11:47:40.894,-11.39
nikhil1,11:47:40.894,28.08
nikhil1,11:47:40.898,31.45
nikhil1,11:47:40.899,-64.3
nikhil1,11:47:40.903,-54.01
nikhil1,11:47:40.903,78.36
nikhil1,11:47:40.906,42.88
nikhil1,11:47:40.907,-57.79
nikhil1,11:47:40.910,-2.56
nikhil1,11:47:40.911,11.04
nikhil1,11:47:40.914,-29.13
nikhil1,11:47:40.914,41.3
nikhil1,11:47:40.918,28.45
nikhil1,11:47:40.918,-81.36
nikhil1,11:47:40.923,-11.66
nikhil1,11:47:40.923,98.09
nikhil1,11:47:40.927,6.19
nikhil1,11:47:40.927,-90.5
nikhil1,11:47:40.931,-23.5
nikhil1,11:47:40.931,60.09
nikhil1,11:47:40.935,47.04
nikhil1,11:47:40.935,-14.46
nikhil1,11:47:40.938,-45.12
nikhil1,11:47:40.940,-17.67
nikhil1,11:47:40.943,18.74
nikhil1,11:47:40.943,17.74
nikhil1,11:47:40.947,2.75
nikhil1,11:47:40.947,-0.73
nikhil1,11:47:40.951,-5.09
nikhil1,11:47:40.952,-9.77
nikhil1,11:47:40.955,-2.06
nikhil1,11:47:40.956,5.61
nikhil1,11:47:40.956,0.07
nikhil1,11:47:40.959,-2.97
nikhil1,11:47:40.959,9.43
nikhil1,11:47:40.963,17.26
nikhil1,11:47:40.963,-0.96
nikhil1,11:47:40.968,-29.2
nikhil1,11:47:40.968,-22.75
nikhil1,11:47:40.972,23.74
nikhil1,11:47:40.972,36.98
nikhil1,11:47:40.976,-10.68
nikhil1,11:47:40.976,-35.07
