Username,timestamps,emgvalues
niya1,12:57:29.639,0.95
niya1,12:57:29.644,1.37
niya1,12:57:29.644,-3.0
niya1,12:57:29.648,-4.61
niya1,12:57:29.648,6.44
niya1,12:57:29.652,11.33
niya1,12:57:29.652,-12.8
niya1,12:57:29.656,-28.12
niya1,12:57:29.656,23.61
niya1,12:57:29.657,65.82
niya1,12:57:29.660,-28.18
niya1,12:57:29.663,-123.29
niya1,12:57:29.664,-6.37
niya1,12:57:29.664,148.09
niya1,12:57:29.669,68.74
niya1,12:57:29.669,-91.53
niya1,12:57:29.673,-83.39
niya1,12:57:29.673,5.45
niya1,12:57:29.676,29.07
niya1,12:57:29.676,27.4
niya1,12:57:29.680,28.02
niya1,12:57:29.680,-4.79
niya1,12:57:29.684,-35.49
niya1,12:57:29.684,-19.42
niya1,12:57:29.688,8.74
niya1,12:57:29.689,15.31
niya1,12:57:29.693,10.72
niya1,12:57:29.693,2.16
niya1,12:57:29.696,-8.18
niya1,12:57:29.698,-9.51
niya1,12:57:29.701,-2.01
niya1,12:57:29.702,3.71
niya1,12:57:29.706,4.78
niya1,12:57:29.706,3.47
niya1,12:57:29.709,0.2
niya1,12:57:29.709,-3.48
niya1,12:57:29.713,-4.93
niya1,12:57:29.713,-12.65
niya1,12:57:29.718,-16.28
niya1,12:57:29.718,37.13
niya1,12:57:29.721,84.07
niya1,12:57:29.722,-22.79
niya1,12:57:29.726,-141.83
niya1,12:57:29.727,-35.36
niya1,12:57:29.730,118.43
niya1,12:57:29.730,67.8
niya1,12:57:29.733,-43.41
niya1,12:57:29.734,-39.93
niya1,12:57:29.737,-7.81
niya1,12:57:29.738,-7.85
niya1,12:57:29.741,12.34
niya1,12:57:29.742,26.93
niya1,12:57:29.742,-1.26
niya1,12:57:29.746,-12.06
niya1,12:57:29.746,8.01
niya1,12:57:29.751,-5.52
niya1,12:57:29.751,-29.74
niya1,12:57:29.755,7.06
niya1,12:57:29.755,47.71
niya1,12:57:29.759,-0.98
niya1,12:57:29.759,-59.92
niya1,12:57:29.763,-16.74
niya1,12:57:29.763,50.91
niya1,12:57:29.766,39.07
niya1,12:57:29.766,-7.42
niya1,12:57:29.771,-29.78
niya1,12:57:29.771,-30.35
niya1,12:57:29.775,-6.4
niya1,12:57:29.775,26.45
niya1,12:57:29.779,25.35
niya1,12:57:29.779,-1.73
niya1,12:57:29.783,-13.05
niya1,12:57:29.784,-9.16
niya1,12:57:29.787,-6.26
niya1,12:57:29.787,1.77
niya1,12:57:29.791,10.97
niya1,12:57:29.791,6.61
niya1,12:57:29.795,-3.99
niya1,12:57:29.795,-5.93
niya1,12:57:29.799,-1.59
niya1,12:57:29.799,0.78
niya1,12:57:29.803,0.7
niya1,12:57:29.804,1.57
niya1,12:57:29.807,2.89
niya1,12:57:29.808,0.14
niya1,12:57:29.812,-4.47
niya1,12:57:29.812,-3.39
niya1,12:57:29.816,-2.02
niya1,12:57:29.816,-4.69
niya1,12:57:29.820,8.35
niya1,12:57:29.820,30.98
niya1,12:57:29.823,11.16
niya1,12:57:29.825,-40.93
niya1,12:57:29.827,-40.24
niya1,12:57:29.828,12.9
niya1,12:57:29.832,34.27
niya1,12:57:29.832,14.68
niya1,12:57:29.832,-3.62
niya1,12:57:29.836,-11.98
niya1,12:57:29.836,-7.71
niya1,12:57:29.840,-0.14
niya1,12:57:29.841,-5.86
niya1,12:57:29.845,-7.76
niya1,12:57:29.845,11.7
niya1,12:57:29.849,38.14
niya1,12:57:29.849,23.8
niya1,12:57:29.853,-66.43
niya1,12:57:29.853,-107.67
niya1,12:57:29.857,55.09
niya1,12:57:29.857,191.21
niya1,12:57:29.861,-0.94
niya1,12:57:29.861,-206.62
niya1,12:57:29.865,-49.23
niya1,12:57:29.866,144.88
niya1,12:57:29.869,53.74
niya1,12:57:29.870,-57.58
niya1,12:57:29.873,-15.15
niya1,12:57:29.873,2.35
niya1,12:57:29.878,-26.63
niya1,12:57:29.878,6.83
niya1,12:57:29.881,36.59
niya1,12:57:29.881,1.82
niya1,12:57:29.886,-18.28
niya1,12:57:29.886,-2.14
niya1,12:57:29.889,-1.86
niya1,12:57:29.889,-6.21
niya1,12:57:29.893,7.75
niya1,12:57:29.893,10.92
niya1,12:57:29.898,-3.32
niya1,12:57:29.898,-7.11
niya1,12:57:29.901,-1.04
niya1,12:57:29.902,0.28
niya1,12:57:29.906,1.19
niya1,12:57:29.906,3.2
niya1,12:57:29.910,0.65
niya1,12:57:29.910,-2.09
niya1,12:57:29.914,-1.48
niya1,12:57:29.914,-1.01
niya1,12:57:29.918,-2.18
niya1,12:57:29.918,-8.09
niya1,12:57:29.922,-5.43
niya1,12:57:29.923,29.83
niya1,12:57:29.926,48.69
niya1,12:57:29.927,-18.85
niya1,12:57:29.930,-87.21
niya1,12:57:29.930,-31.25
niya1,12:57:29.931,63.97
niya1,12:57:29.934,53.67
niya1,12:57:29.935,-13.19
niya1,12:57:29.938,-26.0
niya1,12:57:29.939,-1.95
niya1,12:57:29.943,-1.64
niya1,12:57:29.943,-14.19
niya1,12:57:29.947,-5.68
niya1,12:57:29.947,17.42
niya1,12:57:29.951,31.62
niya1,12:57:29.951,17.9
niya1,12:57:29.955,-34.7
niya1,12:57:29.956,-79.14
niya1,12:57:29.959,-10.07
niya1,12:57:29.959,117.82
niya1,12:57:29.963,67.51
niya1,12:57:29.963,-106.57
niya1,12:57:29.967,-83.43
niya1,12:57:29.968,70.87
niya1,12:57:29.971,57.03
niya1,12:57:29.971,-39.01
niya1,12:57:29.976,-18.48
niya1,12:57:29.976,19.82
niya1,12:57:29.980,-9.75
niya1,12:57:29.980,-11.74
niya1,12:57:29.983,18.88
niya1,12:57:29.984,6.94
niya1,12:57:29.988,-14.18
niya1,12:57:29.988,-0.55
niya1,12:57:29.992,6.66
niya1,12:57:29.992,-5.32
niya1,12:57:29.995,-2.88
niya1,12:57:29.997,6.56
niya1,12:57:29.999,2.02
niya1,12:57:30.001,-3.44
niya1,12:57:30.004,-0.82
niya1,12:57:30.005,-0.08
niya1,12:57:30.008,-1.32
niya1,12:57:30.008,1.29
niya1,12:57:30.012,2.6
niya1,12:57:30.013,-0.93
niya1,12:57:30.016,-2.11
niya1,12:57:30.016,1.07
niya1,12:57:30.016,-6.47
niya1,12:57:30.021,-14.1
niya1,12:57:30.021,22.64
niya1,12:57:30.025,43.6
niya1,12:57:30.025,-29.19
niya1,12:57:30.029,-53.74
niya1,12:57:30.029,34.39
niya1,12:57:30.033,33.76
niya1,12:57:30.033,-52.03
niya1,12:57:30.036,-22.97
niya1,12:57:30.038,53.73
niya1,12:57:30.041,28.95
niya1,12:57:30.041,-21.85
niya1,12:57:30.045,-25.98
niya1,12:57:30.045,-17.88
niya1,12:57:30.050,8.91
niya1,12:57:30.050,38.69
niya1,12:57:30.053,13.18
niya1,12:57:30.053,-32.81
niya1,12:57:30.058,-38.19
niya1,12:57:30.058,1.34
niya1,12:57:30.061,67.19
niya1,12:57:30.061,56.17
niya1,12:57:30.066,-86.88
niya1,12:57:30.066,-134.85
niya1,12:57:30.070,57.11
niya1,12:57:30.070,179.61
niya1,12:57:30.073,21.01
niya1,12:57:30.074,-129.05
niya1,12:57:30.078,-66.43
niya1,12:57:30.078,26.25
niya1,12:57:30.082,34.48
niya1,12:57:30.082,32.35
niya1,12:57:30.087,21.69
niya1,12:57:30.087,-22.66
niya1,12:57:30.090,-38.98
niya1,12:57:30.090,-6.39
niya1,12:57:30.094,16.69
niya1,12:57:30.094,12.43
niya1,12:57:30.098,6.8
niya1,12:57:30.098,1.01
niya1,12:57:30.102,-9.39
niya1,12:57:30.103,-10.3
niya1,12:57:30.106,-0.04
niya1,12:57:30.106,6.23
niya1,12:57:30.106,5.1
niya1,12:57:30.111,2.42
niya1,12:57:30.111,-1.85
niya1,12:57:30.115,-5.48
niya1,12:57:30.115,-3.18
niya1,12:57:30.119,1.75
niya1,12:57:30.119,-6.36
niya1,12:57:30.123,-16.58
niya1,12:57:30.123,28.58
niya1,12:57:30.127,74.75
niya1,12:57:30.128,-16.6
niya1,12:57:30.131,-121.77
