Username,timestamps,emgvalues
nikhil1,14:48:39.379,7.65
nikhil1,14:48:39.379,16.54
nikhil1,14:48:39.382,-17.81
nikhil1,14:48:39.383,-62.17
nikhil1,14:48:39.387,-5.5
nikhil1,14:48:39.387,75.74
nikhil1,14:48:39.390,39.59
nikhil1,14:48:39.391,-2.15
nikhil1,14:48:39.395,10.42
nikhil1,14:48:39.396,-65.7
nikhil1,14:48:39.399,-128.16
nikhil1,14:48:39.400,13.54
nikhil1,14:48:39.403,155.57
nikhil1,14:48:39.403,86.99
nikhil1,14:48:39.407,-35.75
nikhil1,14:48:39.407,-81.68
nikhil1,14:48:39.411,-84.72
nikhil1,14:48:39.411,-26.43
nikhil1,14:48:39.416,77.14
nikhil1,14:48:39.416,101.09
nikhil1,14:48:39.420,1.56
nikhil1,14:48:39.420,-73.15
nikhil1,14:48:39.423,-21.19
nikhil1,14:48:39.423,7.7
nikhil1,14:48:39.428,-46.04
nikhil1,14:48:39.428,1.64
nikhil1,14:48:39.432,101.3
nikhil1,14:48:39.432,35.23
nikhil1,14:48:39.436,-67.54
nikhil1,14:48:39.436,-31.42
nikhil1,14:48:39.440,0.45
nikhil1,14:48:39.440,-22.37
nikhil1,14:48:39.444,23.98
nikhil1,14:48:39.444,48.82
nikhil1,14:48:39.448,-29.83
nikhil1,14:48:39.448,-28.14
nikhil1,14:48:39.452,56.32
nikhil1,14:48:39.453,16.63
nikhil1,14:48:39.456,-66.19
nikhil1,14:48:39.457,-23.91
nikhil1,14:48:39.457,27.43
nikhil1,14:48:39.460,3.5
nikhil1,14:48:39.460,12.64
nikhil1,14:48:39.465,41.42
nikhil1,14:48:39.465,-11.35
nikhil1,14:48:39.469,-66.76
nikhil1,14:48:39.469,-8.33
nikhil1,14:48:39.472,66.95
nikhil1,14:48:39.472,25.47
nikhil1,14:48:39.477,-50.51
nikhil1,14:48:39.478,-39.68
nikhil1,14:48:39.481,9.26
nikhil1,14:48:39.481,28.79
nikhil1,14:48:39.485,39.66
nikhil1,14:48:39.485,14.25
nikhil1,14:48:39.489,-62.49
nikhil1,14:48:39.489,-55.91
nikhil1,14:48:39.493,54.19
nikhil1,14:48:39.493,71.78
nikhil1,14:48:39.497,-29.12
nikhil1,14:48:39.498,-59.28
nikhil1,14:48:39.502,1.31
nikhil1,14:48:39.502,21.49
nikhil1,14:48:39.506,18.73
nikhil1,14:48:39.506,26.87
nikhil1,14:48:39.510,-30.05
nikhil1,14:48:39.510,-63.79
nikhil1,14:48:39.514,41.36
nikhil1,14:48:39.514,77.36
nikhil1,14:48:39.518,-58.17
nikhil1,14:48:39.518,-71.11
nikhil1,14:48:39.522,70.61
nikhil1,14:48:39.522,54.19
nikhil1,14:48:39.526,-58.33
nikhil1,14:48:39.527,-22.94
nikhil1,14:48:39.531,14.2
nikhil1,14:48:39.531,-39.67
nikhil1,14:48:39.535,27.91
nikhil1,14:48:39.535,119.0
nikhil1,14:48:39.538,-22.86
nikhil1,14:48:39.538,-146.97
nikhil1,14:48:39.542,-5.88
nikhil1,14:48:39.542,84.73
nikhil1,14:48:39.543,-7.01
nikhil1,14:48:39.547,13.28
nikhil1,14:48:39.547,55.38
nikhil1,14:48:39.551,-79.86
nikhil1,14:48:39.551,-80.02
nikhil1,14:48:39.554,112.96
nikhil1,14:48:39.554,71.26
nikhil1,14:48:39.559,-130.37
nikhil1,14:48:39.559,-60.86
nikhil1,14:48:39.563,120.4
nikhil1,14:48:39.563,53.97
