Username,Features
nikhil,"[37.64485981308411, 10897.039999999999, 0.47417840375586856, 0.0022069590349196476, 1.012389674181529, 51.35879509533747, 564473.3284, 457.60981198380074, 97928.49976453336, 120797292.2775999, 57, -0.0001669585466877911, -970810.3763189866]"
nikhil,"[54.068411214953265, 13339.850000000002, 0.43661971830985913, -0.031044981497353918, 0.5706365174908927, 73.78346190351392, 1165015.8396, 572.8709930193261, 122594.39250613577, 249313389.67439985, 34, -1.460099408629826e-05, -1295054.0083295067]"
nikhil,"[45.190280373831776, 10892.27, 0.36619718309859156, -0.03212697606850968, 0.3907974801339851, 58.893429555934446, 742245.3136, 478.4302990861768, 102384.08400444183, 158840497.1103999, 177, -3.3012943690081376e-05, -1044488.9681842935]"
nikhil,"[44.52714953271029, 12469.5, 0.460093896713615, 0.1520268508213672, 0.39172334543439247, 57.80190376598303, 714986.8569, 524.0550180289711, 112147.7738581998, 153007187.3765999, 60, -0.0003864098101028034, -1119537.0805801165]"
nikhil,"[49.879672897196265, 13016.990000000002, 0.431924882629108, -0.0027023889024782146, 0.90936021634873, 68.11171593882246, 992790.0514999998, 534.6885904515334, 114423.35835662816, 212457071.02099985, 41, -1.4376435228156946e-05, -1191454.900324535]"
niya,"[62.78738317757009, 17009.75, 0.45539906103286387, -0.11376840556764886, 4.746243576541657, 102.10792946589939, 2231170.2616, 832.633415851639, 178183.55099225076, 477470435.9823997, 180, -5.909636406591285e-05, -1972699.3364927196]"
niya,"[46.301643192488264, 12213.31, 0.419811320754717, -0.004440983202454797, 3.387463464824223, 71.49810126833108, 1088851.4173, 619.2124857164337, 131892.25945760036, 231925351.8849, 41, 0.0, -1378240.6108083075]"
niya,"[59.207452830188686, 15767.96, 0.44549763033175355, -0.0062841720622449655, 1.2632493950945909, 85.87922702787712, 1563551.2266000002, 725.4638503744678, 153798.33627938718, 331472860.0392, 60, -3.348540773966777e-05, -1653304.1089259326]"
niya,"[40.597840375586856, 10338.769999999999, 0.41037735849056606, -0.05720114097650487, 3.7395844658197133, 58.87517128151077, 738318.8740000001, 517.6297967370049, 110255.14670498203, 157261920.16199997, 51, -1.6497999938388934e-17, -1124422.6155317905]"
niya,"[55.91103286384976, 14009.470000000001, 0.42452830188679247, 0.07375606068247163, 2.4628709522392684, 81.80284028896993, 1425333.0967, 659.2021957868694, 140410.06770260318, 303595949.5971, 40, -1.2954836026420723e-17, -1510277.606776652]"
sanjana,"[32.261784037558684, 8244.32, 0.4056603773584906, -0.014809280401252213, 1.7986358962084354, 42.504837040400304, 384818.82959999994, 367.16255824856853, 78205.6249069451, 81966410.70479998, 37, 0.0, -760588.055079406]"
sanjana,"[44.89556074766355, 12080.31, 0.4460093896713615, 0.0364346601592336, 0.7617701287880543, 59.48880191097934, 757328.3563000001, 502.5170266472905, 107538.64370252016, 162068268.2481999, 38, -4.2263876905242774e-05, -1102621.4521320267]"
sanjana,"[27.8093896713615, 6916.42, 0.3915094339622642, 0.11385258608267798, 0.0003123354947835999, 34.90418022505468, 259498.2828, 288.3035972431141, 61408.666212783304, 55273134.23639999, 38, -1.481052688266336e-17, -575318.2284493579]"
sanjana,"[25.753004694835678, 7061.83, 0.4481132075471698, 0.028808170811965742, 2.974163825058433, 36.312468758319696, 280860.81750000006, 314.2983783914681, 66945.5545973827, 59823354.1275, 47, 1.358558768005913e-17, -638422.2264559336]"
sanjana,"[34.249345794392525, 9321.67, 0.43661971830985913, 0.015151372732702196, 1.1521999714149382, 45.102011062359054, 435316.95999999996, 389.24492794098006, 83298.41457936974, 93157829.43999994, 46, -0.00010348336212078792, -816518.6232183339]"
static,"[6.969861111111111, 1757.8, 0.413953488372093, 0.5569266126598627, 34.93431345173929, 21.489705147228403, 99750.40430000001, 199.04298770086157, 42993.2853433861, 21546087.3288, 178, -1.0466750712502914e-06, -377541.38915945677]"
static,"[6.274716981132075, 1521.1000000000004, 0.41706161137440756, 0.5851681654307161, 36.058628853294834, 21.49549889259399, 97955.9722, 199.3642215156273, 42265.21496131299, 20766666.106400006, 36, -9.937249825524732e-06, -370054.5946029871]"
static,"[5.892910798122066, 1451.3700000000001, 0.4056603773584906, 0.5667079822334932, 35.147457900342324, 20.666524620896066, 90973.4161, 190.16166176205735, 40504.433955318214, 19377337.629300006, 33, -2.2454201008616046e-17, -352961.876228065]"
static,"[6.008785046728971, 1498.9299999999998, 0.431924882629108, 0.553836158953346, 36.61200159361116, 21.210196234336575, 96272.69880000001, 197.3587727557952, 42234.77736974017, 20602357.543199994, 35, -1.2785671752771339e-05, -369493.6778035094]"
static,"[6.466103286384977, 1574.08, 0.4056603773584906, 0.6015143248168163, 36.40349064061276, 21.379241983602395, 97356.3334, 198.59723652773675, 42301.21138040793, 20736899.0142, 38, 2.1500441053424924e-17, -370622.4752939208]"
